Navn,OrgNr,NACE_kode,NACE_beskrivelse,AntallAnsatte,aar,driftsinntekter,driftskostnad,driftsresultat,%Driftsmargin_BMRFY,finansinntekter,finanskostnader,%NettoFinansMargin_BMRFY,nettofinans,resultatFørSkatt,%ResultatFørSkatt_BMRFY,aarsresultat,%nettoresultatmargin_BMRFY,totalresultat,anleggsmidler,omlopsmidler,%likviditetsgrad_BMRFY,sumEiendeler,%ROA_BMRFY,innskuttEgenkapital,egenkapital,%egenkapitalandel_BMRFY,%ROE_BMRFY,sumGjeld,%gearing_BMRFY,%Gjeldsgrad_BMRFY,sumEgenkapitalGjeld,langsiktigGjeld,kortsiktigGjeld,omsetningPerAnsatt_BMRFY
AS BIL & BO,918029478,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",20,2023,44728031,43302792,1425240,"3,19 %",62511,598152,"-1,20 %",-535641,889599,"1,99 %",693732,"1,55 %",,6573244,10469428,"486,59 %",17042672,"4,07 %",,4762668,"27,95 %","14,57 %",12280004,"72,05 %","257,84 %",17042672,10128413,2151590,2236402
AS ELEKTRO BILXTRAVERKSTED,924697261,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",18,2023,24283934,20247489,4036445,"16,62 %",118883,522,"0,49 %",118361,4154806,"17,11 %",3251522,"13,39 %",,590700,7702547,"201,53 %",8293247,"39,21 %",,4471250,"53,91 %","72,72 %",3821997,"46,09 %","85,48 %",8293247,0,3821997,1349107
AS INSIGNIA,979474075,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",70,2023,336642710,330632965,6009744,"1,79 %",416525,5186210,"-1,42 %",-4769686,1240059,"0,37 %",956372,"0,28 %",956372,8289536,145604795,"105,03 %",153894332,"0,62 %",,15266766,"9,92 %","6,26 %",138627566,"90,08 %","908,03 %",153894332,0,138627566,4809182
AS KELLOX,984438524,45.401,"Agentur- og engroshandel med motorsykler, deler og utstyr",20,2023,294013620,276050334,17963286,"6,11 %",495333,5484828,"-1,70 %",-4989495,12973791,"4,41 %",10091836,"3,43 %",10091836,7764366,200836982,"469,60 %",208601348,"4,84 %",,67793545,"32,50 %","14,89 %",140807803,"67,50 %","207,70 %",208601348,98040236,42767567,14700681
AS NORMASKIN TANA,933693333,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",10,2023,15983159,16684284,-701124,"-4,39 %",26016,1152,"0,16 %",24864,-676260,"-4,23 %",-849417,"-5,31 %",-849417,2738284,4603659,"312,60 %",7341943,"-11,57 %",,5869247,"79,94 %","-14,47 %",1472696,"20,06 %","25,09 %",7341943,0,1472696,1598316
ASBJØRNS BILVERKSTED AS,995618915,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",5,2023,8596803,8302054,294749,"3,43 %",206166,-27,"2,40 %",206193,500942,"5,83 %",390604,"4,54 %",390604,1739042,7955084,"518,93 %",9694126,"4,03 %",,8161133,"84,19 %","4,79 %",1532993,"15,81 %","18,78 %",9694126,0,1532993,1719361
ASKER BRUKTBIL AS,827216232,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",5,2023,12378990,12181055,197936,"1,60 %",100,597,"-0,00 %",-497,197439,"1,59 %",154002,"1,24 %",,38,1087362,"316,68 %",1087400,"14,16 %",,744035,"68,42 %","20,70 %",343365,"31,58 %","46,15 %",1087400,0,343365,2475798
ASKER ELEKTRO DIESEL AS,954501183,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,12444416,8611856,3832560,"30,80 %",148776,3607,"1,17 %",145169,3977729,"31,96 %",3158451,"25,38 %",3158451,5918119,3658500,"118,56 %",9576620,"32,98 %",,6490790,"67,78 %","48,66 %",3085830,"32,22 %","47,54 %",9576620,0,3085830,1777774
ASKIM MC AS,931275933,45.402,"Detaljhandel med motorsykler, deler og utstyr",11,2023,15297680,13820418,1477262,"9,66 %",2915,117786,"-0,75 %",-114871,1362391,"8,91 %",1056738,"6,91 %",1056738,215776,4019541,"134,95 %",4235316,"24,95 %",,1256738,"29,67 %","84,09 %",2978578,"70,33 %","237,01 %",4235316,0,2978578,1390698
ASKØY AUTO SERVICE AS,840921352,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",5,2023,4057129,3244473,812656,"20,03 %",32020,-28489,"1,49 %",60509,873165,"21,52 %",688246,"16,96 %",,675028,5876335,"498,49 %",6551363,"10,51 %",,5364858,"81,89 %","12,83 %",1186505,"18,11 %","22,12 %",6551363,7668,1178837,811426
A-TEAM BIL AS,818093772,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",12,2023,15500504,14641038,859466,"5,54 %",20487,252802,"-1,50 %",-232315,627151,"4,05 %",433203,"2,79 %",,1636280,4235660,"235,26 %",5871941,"7,38 %",,4071502,"69,34 %","10,64 %",1800438,"30,66 %","44,22 %",5871941,0,1800438,1291709
ATLANTIC AUTO AS,929023803,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",16,2023,10993761,10438431,555330,"5,05 %",1418017,-376434,"16,32 %",1794451,2349781,"21,37 %",1971848,"17,94 %",1971848,3793300,37309251,"1668,06 %",41102551,"4,80 %",,38759528,"94,30 %","5,09 %",2343022,"5,70 %","6,05 %",41102551,106340,2236683,687110
ATLANTIC MOBILITY AS,929619803,77.110,Utleie og leasing av biler og andre lette motorvogner,57,2023,132469383,137237157,-4767774,"-3,60 %",666191,1562939,"-0,68 %",-896748,-5664522,"-4,28 %",-4422302,"-3,34 %",,49292801,15699549,"131,50 %",64992350,"-6,80 %",,9198818,"14,15 %","-48,07 %",55793532,"85,85 %","606,53 %",64992350,43854600,11938931,2324024
ATR AUTOSERVICE AS,991036547,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,10936555,10308777,627777,"5,74 %",621433,-1336,"5,67 %",620097,1247874,"11,41 %",1088670,"9,95 %",,1316152,7692735,"546,31 %",9008887,"12,08 %",,7600752,"84,37 %","14,32 %",1408136,"15,63 %","18,53 %",9008887,0,1408136,1367069
ATRACCO AS,884279682,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",51,2023,65784645,64613547,1171099,"1,78 %",-176,1094514,"-1,66 %",-1094690,76409,"0,12 %",76409,"0,12 %",76409,6726984,42260559,"96,23 %",48987543,"0,16 %",,5070457,"10,35 %","1,51 %",43917086,"89,65 %","866,14 %",48987543,0,43917086,1289895
ATS NORWAY AS,925305227,45.191,"Agentur- og engroshandel med andre motorvogner, unntatt motorsykler",18,2023,411688584,400533515,11155069,"2,71 %",1523061,865026,"0,16 %",658035,11813104,"2,87 %",9159134,"2,22 %",9159134,1563196,28095564,"101,17 %",29658760,"30,88 %",,1758938,"5,93 %","520,72 %",27899823,"94,07 %","1586,17 %",29658760,129000,27770822,22871588
ATV MAGASINET AS,812486632,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",9,2023,15761757,15369213,392544,"2,49 %",82987,26,"0,53 %",82961,475504,"3,02 %",375027,"2,38 %",375027,0,6441287,"103,40 %",6441287,"5,82 %",,212086,"3,29 %","176,83 %",6229201,"96,71 %","2937,11 %",6441287,0,6229201,1751306
ATV MOTOR AS,929449800,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",6,2023,23886359,22275853,1610506,"6,74 %",1405,8103,"-0,03 %",-6698,1603808,"6,71 %",1249145,"5,23 %",,0,11710728,"226,07 %",11710728,"10,67 %",,4112285,"35,12 %","30,38 %",7598443,"64,88 %","184,77 %",11710728,2418237,5180206,3981060
AUDIOCOM AS,946237493,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",5,2023,13998177,14607325,-609147,"-4,35 %",136547,466011,"-2,35 %",-329464,-938611,"-6,71 %",-732277,"-5,23 %",-732277,368575,11017000,"434,67 %",11385575,"-6,43 %",,5350765,"47,00 %","-13,69 %",6034811,"53,00 %","112,78 %",11385575,3500261,2534549,2799635
AUKSJONEN.NO AS,897396572,63.120,Drift av web-portaler,134,2023,257523240,194214389,63308851,"24,58 %",7056771,10167138,"-1,21 %",-3110367,60198484,"23,38 %",45701739,"17,75 %",,124018258,326862646,"102,88 %",450880904,"10,14 %",,64214346,"14,24 %","71,17 %",386666558,"85,76 %","602,15 %",450880904,68966090,317700468,1921815
AURE BIL OG FRITID AS,915492851,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",12,2023,47705173,45748343,1956830,"4,10 %",33617,655396,"-1,30 %",-621779,1335051,"2,80 %",1040982,"2,18 %",,2366103,18450539,"147,47 %",20816642,"5,00 %",,2643183,"12,70 %","39,38 %",18173459,"87,30 %","687,56 %",20816642,5661979,12511479,3975431
AURLAND BIL OG MASKIN AS,976506480,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",5,2023,7370205,7094017,276188,"3,75 %",96013,17335,"1,07 %",78678,354866,"4,81 %",214816,"2,91 %",214816,151850,3808782,"308,93 %",3960632,"5,42 %",,2727719,"68,87 %","7,88 %",1232914,"31,13 %","45,20 %",3960632,0,1232914,1474041
AUSTEVOLL AUTO AS,983984266,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",9,2023,20495231,17614276,2880955,"14,06 %",72295,109305,"-0,18 %",-37010,2843945,"13,88 %",2214645,"10,81 %",2214645,1143075,11910265,"123,35 %",13053340,"16,97 %",,2875349,"22,03 %","77,02 %",10177991,"77,97 %","353,97 %",13053340,522254,9655737,2277248
AUTAGRO SERVICESENTER AS,998327431,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,6686335,6515236,171099,"2,56 %",14315,64022,"-0,74 %",-49707,121392,"1,82 %",94065,"1,41 %",94065,594939,1482679,"79,06 %",2077618,"4,53 %",,196398,"9,45 %","47,90 %",1881220,"90,55 %","957,86 %",2077618,5847,1875373,955191
AUTO & DEKKSERVICE AS,974442566,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",10,2023,11114719,9410284,1704436,"15,33 %",12177,-52543,"-0,36 %",-40367,1664069,"14,97 %",1286067,"11,57 %",,551792,2621734,"190,54 %",3173526,"40,52 %",,1247589,"39,31 %","103,08 %",1925939,"60,69 %","154,37 %",3173527,550000,1375939,1111472
AUTO 1 ELNESVÅGEN AS,995419963,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",5,2023,3818464,4294618,-476155,"-12,47 %",-817,127499,"-3,36 %",-128316,-604471,"-15,83 %",-604471,"-15,83 %",,24952,548547,"29,76 %",573500,"-105,40 %",,-1344681,"-234,47 %","44,95 %",1918181,"334,47 %","-142,65 %",573500,75000,1843181,763693
AUTO 1 SKIEN AS,996340465,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,9868881,9321292,547589,"5,55 %",11845,31273,"-0,20 %",-19428,528161,"5,35 %",430611,"4,36 %",,623815,1951431,"125,12 %",2575246,"16,72 %",,670794,"26,05 %","64,19 %",1904452,"73,95 %","283,91 %",2575246,344774,1559679,1409840
AUTO 2000 AS,919213566,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",28,2023,136546993,134284024,2262968,"1,66 %",197094,234451,"-0,03 %",-37357,2225611,"1,63 %",1751018,"1,28 %",1751018,1855389,20726691,"109,59 %",22582080,"7,75 %",,2769673,"12,26 %","63,22 %",19812407,"87,74 %","715,33 %",22582080,900000,18912407,4876678
AUTO 8-8 FORUM AS,959167915,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",33,2023,163712753,165541853,-1829100,"-1,12 %",28059,2004527,"-1,21 %",-1976468,-3805568,"-2,32 %",-2970754,"-1,81 %",-2970754,4152758,58861185,"109,13 %",63013943,"-4,71 %",,9077260,"14,41 %","-32,73 %",53936683,"85,59 %","594,20 %",63013943,0,53936683,4960993
AUTO 8-8 HOLDING AS,912261743,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",21,2023,19212304,17505173,1707131,"8,89 %",6800249,316361,"33,75 %",6483888,8191019,"42,63 %",6938665,"36,12 %",6938665,74307646,19317469,"70,71 %",93625116,"7,41 %",,62197121,"66,43 %","11,16 %",31427995,"33,57 %","50,53 %",93625116,4109291,27318704,914872
AUTO 8-8 IMAAS AS,934283171,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",26,2023,98448798,99095865,-647067,"-0,66 %",78464,687080,"-0,62 %",-608616,-1255683,"-1,28 %",-967319,"-0,98 %",-967319,4849369,40134910,"126,33 %",44984279,"-2,15 %",,13214155,"29,38 %","-7,32 %",31770124,"70,62 %","240,42 %",44984279,0,31770124,3786492
AUTO 8-8 MOLDE AS,912511782,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",27,2023,191302424,194130768,-2828344,"-1,48 %",20541,2076733,"-1,07 %",-2056193,-4884537,"-2,55 %",-3815071,"-1,99 %",-3815071,7634938,76907879,"110,24 %",84542817,"-4,51 %",,14776833,"17,48 %","-25,82 %",69765984,"82,52 %","472,13 %",84542817,0,69765984,7085275
AUTO 8-8 SILDNES & HALAAS AS,919687304,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",54,2023,335861120,331158193,4702927,"1,40 %",43639,3979472,"-1,17 %",-3935833,767094,"0,23 %",598334,"0,18 %",598334,4422020,122082870,"116,97 %",126504890,"0,47 %",,22130080,"17,49 %","2,70 %",104374810,"82,51 %","471,64 %",126504890,0,104374810,6219650
AUTO 8-8 WITRO AS,838525172,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",33,2023,228348139,212849099,15499040,"6,79 %",3239587,604418,"1,15 %",2635169,18134208,"7,94 %",14256983,"6,24 %",14256983,11467605,107444114,"190,64 %",118911719,"11,99 %",,62552846,"52,60 %","22,79 %",56358873,"47,40 %","90,10 %",118911719,0,56358873,6919641
AUTO 8-8 ÅLESUND AS,982779529,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",74,2023,562041523,559404075,2637448,"0,47 %",87790,5209076,"-0,91 %",-5121287,-2483838,"-0,44 %",-1933824,"-0,34 %",-1933824,13014783,148921783,"117,24 %",161936566,"-1,19 %",,34916062,"21,56 %","-5,54 %",127020504,"78,44 %","363,79 %",161936566,0,127020504,7595156
AUTO BRAVIA AS,932224453,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",8,2023,,60702,-60702,,,,,,-60702,,-60702,,-60702,0,58973,"233,60 %",58973,"-102,93 %",,33728,"57,19 %","-179,98 %",25245,"42,81 %","74,85 %",58973,0,25245,
AUTO BRUNO AS,929360427,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,8805627,8134409,671218,"7,62 %",99,47532,"-0,54 %",-47433,623785,"7,08 %",394499,"4,48 %",,171001,1745712,"120,55 %",1916713,"20,58 %",,200617,"10,47 %","196,64 %",1716095,"89,53 %","855,41 %",1916713,268027,1448068,1257947
AUTO CENTER AS,959208352,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",7,2023,32210610,26669052,5541557,"17,20 %",1253189,28988,"3,80 %",1224202,6765759,"21,00 %",5277947,"16,39 %",5277947,108119,53616170,"918,73 %",53724289,"9,82 %",,47888386,"89,14 %","11,02 %",5835903,"10,86 %","12,19 %",53724289,0,5835903,4601516
AUTO COMPANY AS,923083545,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",8,2023,16634514,16263675,370839,"2,23 %",317,4377,"-0,02 %",-4060,366779,"2,20 %",285226,"1,71 %",285226,513211,2892007,"271,74 %",3405218,"8,38 %",,2340968,"68,75 %","12,18 %",1064251,"31,25 %","45,46 %",3405218,0,1064251,2079314
AUTO DETAILER AS,922845018,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",10,2023,5309550,5415559,-106009,"-2,00 %",1204,6169,"-0,09 %",-4966,-110975,"-2,09 %",-110975,"-2,09 %",,280156,606356,"57,82 %",886511,"-12,52 %",,-276593,"-31,20 %","40,12 %",1163104,"131,20 %","-420,51 %",886511,114403,1048701,530955
AUTO E-14 AS,883342402,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,18850602,18975324,-124722,"-0,66 %",19177,193530,"-0,92 %",-174353,-299075,"-1,59 %",-233288,"-1,24 %",,1538418,4818821,"153,07 %",6357239,"-3,67 %",,2489391,"39,16 %","-9,37 %",3867848,"60,84 %","155,37 %",6357239,719760,3148088,3141767
AUTO FORMIDLING WEST AS,923307567,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",5,2023,52167945,52304548,-136603,"-0,26 %",1935,42595,"-0,08 %",-40660,-177264,"-0,34 %",-146752,"-0,28 %",-146752,0,2111240,"180,40 %",2111240,"-6,95 %",,503730,"23,86 %","-29,13 %",1607510,"76,14 %","319,12 %",2111241,437198,1170312,10433589
AUTO GARANTISTEN AS,916111312,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",5,2023,52522393,50548524,1973869,"3,76 %",8746,241937,"-0,44 %",-233191,1740678,"3,31 %",1357423,"2,58 %",,580272,15485331,"286,40 %",16065602,"8,45 %",,5281786,"32,88 %","25,70 %",10783817,"67,12 %","204,17 %",16065602,5377021,5406795,10504479
AUTO HOME BILPLEIE AS,919134631,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,4245669,3463235,782433,"18,43 %",1341,10335,"-0,21 %",-8994,773440,"18,22 %",590400,"13,91 %",590400,170000,2082213,"367,90 %",2252213,"26,21 %",,1683074,"74,73 %","35,08 %",569139,"25,27 %","33,82 %",2252213,3171,565969,530709
AUTO INDUSTRI AS,913688635,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",5,2023,10128982,8375166,1753816,"17,31 %",152535,1053,"1,50 %",151482,1905299,"18,81 %",1517671,"14,98 %",1517671,108155,6414190,"208,80 %",6522345,"23,27 %",,3450423,"52,90 %","43,99 %",3071923,"47,10 %","89,03 %",6522345,0,3071923,2025796
AUTO KAROSSERI AS,988664324,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",10,2023,19422003,18412812,1009192,"5,20 %",54884,629,"0,28 %",54255,1063447,"5,48 %",828735,"4,27 %",828735,1043268,9533631,"399,37 %",10576898,"7,84 %",,8171889,"77,26 %","10,14 %",2405009,"22,74 %","29,43 %",10576898,17864,2387145,1942200
AUTO KAROSSERI VEST AS,925947075,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",5,2023,15890720,18160183,-2269463,"-14,28 %",9934,215175,"-1,29 %",-205241,-2474704,"-15,57 %",-1930269,"-12,15 %",-1930269,7706893,5086205,"71,81 %",12793098,"-15,09 %",,5551981,"43,40 %","-34,77 %",7241117,"56,60 %","130,42 %",12793098,158489,7082628,3178144
AUTO KJELLER AS,916339577,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",13,2023,6878107,7901618,-1023511,"-14,88 %",-41,3187,"-0,05 %",-3227,-1026739,"-14,93 %",-776035,"-11,28 %",-776035,250704,540278,"32,75 %",790982,"-98,11 %",,-858860,"-108,58 %","90,36 %",1649841,"208,58 %","-192,10 %",790982,0,1649841,529085
AUTO KONSULT TRONDHEIM AS,985483515,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",10,2023,12083565,11601069,482496,"3,99 %",5749,26006,"-0,17 %",-20257,462240,"3,83 %",360049,"2,98 %",360049,703610,2229354,"111,64 %",2932963,"12,28 %",,936047,"31,91 %","38,46 %",1996916,"68,09 %","213,34 %",2932963,0,1996916,1208357
AUTO LAKK AS,982260612,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",10,2023,3887700,4189306,-301606,"-7,76 %",3955,69184,"-1,68 %",-65229,-366835,"-9,44 %",-366834,"-9,44 %",,120248,1282228,"86,92 %",1402477,"-26,16 %",,-72727,"-5,19 %","504,40 %",1475204,"105,19 %","-2028,41 %",1402477,0,1475204,388770
AUTO LOUNGE AS,917525609,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",15,2023,18971301,17931489,1039812,"5,48 %",34061,70808,"-0,19 %",-36747,1003065,"5,29 %",744849,"3,93 %",744849,327732,4084495,"163,19 %",4412227,"16,88 %",,1909384,"43,27 %","39,01 %",2502843,"56,73 %","131,08 %",4412227,0,2502843,1264753
AUTO- MEK AS,987574127,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",9,2023,8522994,8119835,403160,"4,73 %",33346,104052,"-0,83 %",-70706,332454,"3,90 %",271499,"3,19 %",,2504372,2306721,"205,10 %",4811093,"5,64 %",,2469507,"51,33 %","10,99 %",2341586,"48,67 %","94,82 %",4811093,1216890,1124696,946999
AUTO NOR AS,999529429,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",5,2023,5914633,5394693,519940,"8,79 %",12549,6709,"0,10 %",5840,525780,"8,89 %",409895,"6,93 %",,389049,2199091,"275,15 %",2588140,"15,84 %",,1777386,"68,67 %","23,06 %",810756,"31,33 %","45,62 %",2588142,11510,799247,1182927
AUTO NORD AS,966616431,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",22,2023,69934259,66492132,3442126,"4,92 %",53829,780028,"-1,04 %",-726199,2715927,"3,88 %",2118237,"3,03 %",,3061665,21141118,"341,18 %",24202783,"8,75 %",,6401880,"26,45 %","33,09 %",17800903,"73,55 %","278,06 %",24202783,11604357,6196546,3178830
AUTO REFRANCE AS,997939816,45.111,"Agentur- og engroshandel med biler og lette motorvogner, unntatt motorsykler",5,2023,52589690,51637539,952152,"1,81 %",0,-461401,"-0,88 %",-461401,490750,"0,93 %",377781,"0,72 %",,1118789,10122484,"663,26 %",11241274,"3,36 %",,3439429,"30,60 %","10,98 %",7801845,"69,40 %","226,84 %",11241274,6275674,1526171,10517938
AUTO REP AS,912092348,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,8448275,7897445,550830,"6,52 %",1,2056,"-0,02 %",-2055,548775,"6,50 %",427883,"5,06 %",,916120,2238930,"186,86 %",3155050,"13,56 %",,1945315,"61,66 %","22,00 %",1209735,"38,34 %","62,19 %",3155050,11527,1198208,1206896
AUTO RS AS,930878472,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",8,2023,7897058,8465546,-568488,"-7,20 %",5822,-39639,"-0,43 %",-33817,-602305,"-7,63 %",-602305,"-7,63 %",,321112,3847100,"81,01 %",4168212,"-14,45 %",,-580875,"-13,94 %","103,69 %",4749087,"113,94 %","-817,57 %",4168212,0,4749087,987132
AUTO S MOTOR & MARINE AS,915609562,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",9,2023,46353862,45258687,1095176,"2,36 %",0,0,"-2,24 %",-1038519,56657,"0,12 %",60717,"0,13 %",60717,6802224,20825515,"172,64 %",27627739,"0,22 %",,6489259,"23,49 %","0,94 %",21138480,"76,51 %","325,75 %",27627739,8967837,12063230,5150429
AUTO S NOTODDEN AS,996662128,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",9,2023,20722924,19175860,1547065,"7,47 %",0,0,"0,21 %",44500,1591564,"7,68 %",1241567,"5,99 %",1241567,6714845,5807653,"181,43 %",12522498,"9,91 %",,9321370,"74,44 %","13,32 %",3201128,"25,56 %","34,34 %",12522498,0,3201128,2302547
AUTO SELECT AS,924869607,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",21,2023,109325836,102740895,6584941,"6,02 %",14345,13882,"0,00 %",462,6585404,"6,02 %",5127348,"4,69 %",,451725,13465289,"340,66 %",13917014,"36,84 %",,9939784,"71,42 %","51,58 %",3977231,"28,58 %","40,01 %",13917014,24519,3952712,5205992
AUTO SERVICE AS,936482015,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",17,2023,41556637,34489380,7067257,"17,01 %",1418554,549,"3,41 %",1418005,8485261,"20,42 %",6884061,"16,57 %",6884061,12856181,18878625,"128,84 %",31734806,"21,69 %",,16482582,"51,94 %","41,77 %",15252225,"48,06 %","92,54 %",31734806,600000,14652224,2444508
